,name,loss,acc,iteration,iteration_time,event
135,DeepSITH_Tracker,0.10925789135612522,0.9305660435356397,135,0 days 00:00:02.913057000,HandStart
136,DeepSITH_Tracker,0.1074898142889389,0.933141630055846,136,0 days 00:00:02.913614000,HandStart
137,DeepSITH_Tracker,0.12952883690792627,0.9332948166062011,137,0 days 00:00:02.922424000,HandStart
138,DeepSITH_Tracker,0.12302604189617788,0.9322108231618244,138,0 days 00:00:02.914395000,HandStart
139,DeepSITH_Tracker,0.10563342525443203,0.9325467298808316,139,0 days 00:00:02.916385000,HandStart
140,DeepSITH_Tracker,0.11088365778978376,0.9326043572979156,140,0 days 00:00:02.924290000,HandStart
141,DeepSITH_Tracker,0.12564904170134908,0.9339010038408851,141,0 days 00:00:02.917699000,HandStart
142,DeepSITH_Tracker,0.12355509934720117,0.9334007377877341,142,0 days 00:00:02.928950000,HandStart
143,DeepSITH_Tracker,0.12598985183510616,0.9348421868125733,143,0 days 00:00:02.910785000,HandStart
144,DeepSITH_Tracker,0.11983557001097939,0.9361464456799551,144,0 days 00:00:02.923714000,HandStart
145,DeepSITH_Tracker,0.10118260228195006,0.9372463339547458,145,0 days 00:00:02.923276000,HandStart
146,DeepSITH_Tracker,0.09989644770076651,0.9372390929987106,146,0 days 00:00:02.907525000,HandStart
147,DeepSITH_Tracker,0.12184898532962647,0.93600592797356,147,0 days 00:00:02.921730000,HandStart
148,DeepSITH_Tracker,0.11539134983438609,0.9382944661741637,148,0 days 00:00:02.909904000,HandStart
149,DeepSITH_Tracker,0.09851000827432743,0.9384899677350718,149,0 days 00:00:02.922378000,HandStart
150,DeepSITH_Tracker,0.10339074435387273,0.937363370597041,150,0 days 00:00:02.921120000,HandStart
151,DeepSITH_Tracker,0.11880972515649962,0.938344336911304,151,0 days 00:00:02.912093000,HandStart
152,DeepSITH_Tracker,0.11651625163157864,0.9391873422556869,152,0 days 00:00:02.920817000,HandStart
153,DeepSITH_Tracker,0.11955750789778584,0.9385399992587048,153,0 days 00:00:02.915962000,HandStart
154,DeepSITH_Tracker,0.11319064370594391,0.9396383852097797,154,0 days 00:00:02.922335000,HandStart
155,DeepSITH_Tracker,0.09462257810108633,0.9402323668869993,155,0 days 00:00:02.906420000,HandStart
156,DeepSITH_Tracker,0.09335428882277304,0.9398566581949833,156,0 days 00:00:02.915152000,HandStart
157,DeepSITH_Tracker,0.11566033933466015,0.9408533855202569,157,0 days 00:00:02.930574000,HandStart
158,DeepSITH_Tracker,0.10936474873411942,0.9414127862654392,158,0 days 00:00:02.906828000,HandStart
159,DeepSITH_Tracker,0.09212367486712883,0.941664143057905,159,0 days 00:00:02.925551000,HandStart
160,DeepSITH_Tracker,0.09758295840583064,0.9418283607358314,160,0 days 00:00:02.917628000,HandStart
161,DeepSITH_Tracker,0.11312207378569977,0.9397959170119257,161,0 days 00:00:02.918901000,HandStart
162,DeepSITH_Tracker,0.1104306969859685,0.9405733761807845,162,0 days 00:00:02.922614000,HandStart
163,DeepSITH_Tracker,0.11436742265305568,0.9420388730719041,163,0 days 00:00:02.908530000,HandStart
164,DeepSITH_Tracker,0.1071393016705764,0.9430319486371928,164,0 days 00:00:02.914038000,HandStart
165,DeepSITH_Tracker,0.08908424729886301,0.9428752068272495,165,0 days 00:00:02.921943000,HandStart
166,DeepSITH_Tracker,0.08764870820551045,0.9440833458143033,166,0 days 00:00:02.903861000,HandStart
167,DeepSITH_Tracker,0.11011296928248676,0.9445005205559465,167,0 days 00:00:02.920139000,HandStart
168,DeepSITH_Tracker,0.10380041453357582,0.944846744476251,168,0 days 00:00:02.923083000,HandStart
169,DeepSITH_Tracker,0.08656663294106884,0.9432948378697968,169,0 days 00:00:02.911355000,HandStart
170,DeepSITH_Tracker,0.09250112432129166,0.9439461056859743,170,0 days 00:00:02.916869000,HandStart
171,DeepSITH_Tracker,0.10745747782316023,0.942939441886086,171,0 days 00:00:02.910728000,HandStart
172,DeepSITH_Tracker,0.10509507825853044,0.94417436929515,172,0 days 00:00:02.924412000,HandStart
173,DeepSITH_Tracker,0.10930231136014758,0.9452597399021068,173,0 days 00:00:02.915504000,HandStart
174,DeepSITH_Tracker,0.1024782256239543,0.9467776773804376,174,0 days 00:00:02.918213000,HandStart
175,DeepSITH_Tracker,0.08431372988789197,0.9473579828018616,175,0 days 00:00:02.920429000,HandStart
176,DeepSITH_Tracker,0.08273794485097245,0.9458077064400531,176,0 days 00:00:02.913963000,HandStart
177,DeepSITH_Tracker,0.1052276994535247,0.9481853923077793,177,0 days 00:00:02.930710000,HandStart
178,DeepSITH_Tracker,0.09895973695926663,0.9473860371386835,178,0 days 00:00:02.907866000,HandStart
179,DeepSITH_Tracker,0.08205302267245293,0.9454165184217679,179,0 days 00:00:02.923586000,HandStart
180,DeepSITH_Tracker,0.08784078072945958,0.9466655574922668,180,0 days 00:00:02.926897000,HandStart
181,DeepSITH_Tracker,0.10272735468349416,0.9462834903828892,181,0 days 00:00:02.908198000,HandStart
182,DeepSITH_Tracker,0.10057674970255547,0.9476111040653677,182,0 days 00:00:02.925405000,HandStart
183,DeepSITH_Tracker,0.10537533328081466,0.9457036843455843,183,0 days 00:00:02.913509000,HandStart
184,DeepSITH_Tracker,0.09790024825656087,0.9466937397445617,184,0 days 00:00:02.921359000,HandStart
185,DeepSITH_Tracker,0.07989872426651722,0.9483729138580438,185,0 days 00:00:02.922383000,HandStart
186,DeepSITH_Tracker,0.0786280496322806,0.9488585206426047,186,0 days 00:00:02.911328000,HandStart
187,DeepSITH_Tracker,0.10057762578625853,0.9480973673732498,187,0 days 00:00:02.918267000,HandStart
188,DeepSITH_Tracker,0.09525723556919358,0.94932774061264,188,0 days 00:00:02.915468000,HandStart
